level_0,level_1,level_2,mapping_unit,totalarea,hectares_wine,percentwine,richness,perintlvars,simpsons,shannons,dominance
USA,California,Alameda,2,1935085.957,1146,0.000592222,27,0.693717277,0.832725711,2.166446049,0.294938918
USA,California,Amador,2,1568497.051,1250.404686,0.000797199,34,0.152750547,0.604239551,1.698479898,0.617400117
USA,California,Butte,2,4345173.157,57,1.31E-05,6,0.701754386,0.664204371,1.304398828,0.49122807
USA,California,Calaveras,2,2684833.1,251.237488,9.36E-05,26,0.553261383,0.895430093,2.54660553,0.159211909
USA,California,Colusa,2,3011321.899,646,0.000214524,10,0.312693498,0.680510692,1.512774023,0.517027864
USA,California,Contra Costa,2,1931112.147,673.214058,0.000348615,24,0.40700279,0.843533125,2.241711587,0.277771977
USA,California,El Dorado,2,4624222.998,656.607029,0.000141993,35,0.429480629,0.899389772,2.713511932,0.196464543
USA,California,Fresno,2,15579668.94,16010,0.001027621,40,0.128232355,0.891396469,2.657339276,0.247907558
USA,California,Glenn,2,3434415.061,329,9.58E-05,8,0.261398176,0.827542244,1.844495919,0.246200608
USA,California,Humboldt,2,9281725.877,34.607029,3.73E-06,11,0.606813142,0.834368078,2.008181269,0.231166911
USA,California,Kern,2,21118133.81,8421.483,0.00039878,25,0.184290582,0.885433098,2.421420187,0.185359277
USA,California,Kings,2,3592368.602,617,0.000171753,12,0.034035656,0.848545663,2.098011714,0.260940032
USA,California,Lake,2,3445611.121,3119.832802,0.000905451,29,0.550350006,0.801064622,2.123684361,0.361879892
USA,California,Los Angeles,2,10583911.64,49.821087,4.71E-06,11,0.702513777,0.760965865,1.860953571,0.441580088
USA,California,Marin,2,1367239.471,63,4.61E-05,5,0.174603175,0.33207357,0.71526496,0.80952381
USA,California,Mariposa,2,3790735.375,23,6.07E-06,8,0.608695652,0.824196597,1.873535301,0.260869565
USA,California,Mendocino,2,9115872.388,6552.618744,0.000718814,41,0.565575405,0.857832865,2.300808701,0.262490474
USA,California,Merced,2,5098636.447,4418.428116,0.00086659,25,0.595913282,0.864292435,2.341646562,0.249636289
USA,California,Monterey,2,8593083.079,15597.68903,0.001815145,40,0.712669677,0.780882985,1.991413,0.401726178
USA,California,Napa,2,2041807.126,17769.61556,0.008702886,45,0.760230291,0.765112583,1.933286561,0.421506024
USA,California,Placer,2,3886408.695,68,1.75E-05,14,0.117647059,0.85683391,2.222951786,0.264705882
USA,California,Riverside,2,18943308.73,330.809372,1.75E-05,31,0.577371792,0.896791049,2.722210415,0.226716672
USA,California,Sacramento,2,2571357.78,7405.451546,0.002879977,34,0.648981358,0.860896395,2.275261005,0.239148145
USA,California,San Benito,2,3603002.916,958.809372,0.000266114,25,0.629947952,0.798479768,2.124769634,0.382766388
USA,California,San Bernardino,2,52104472.18,209,4.01E-06,12,0.023923445,0.398159383,0.930000789,0.765550239
USA,California,San Diego,2,11021169.83,74.02343,6.72E-06,17,0.553878684,0.873693168,2.388961604,0.243166252
USA,California,San Joaquin,2,3695354.99,27146.74976,0.007346182,51,0.505953756,0.830111665,2.226916173,0.293626311
USA,California,San Luis Obispo,2,8575376.112,11481.82961,0.00133893,48,0.662089602,0.845945902,2.342705925,0.310142209
USA,California,San Mateo,2,1168237.186,28,2.40E-05,4,0.464285714,0.619897959,1.100283854,0.464285714
USA,California,Santa Barbara,2,7132059.703,6511.284348,0.00091296,38,0.592202674,0.76766776,2.015949524,0.410518088
USA,California,Santa Clara,2,3349344.722,608.260918,0.000181606,29,0.688849123,0.855844955,2.351744356,0.228520353
USA,California,Santa Cruz,2,1169373.429,159,0.00013597,11,0.477987421,0.676713738,1.446817779,0.465408805
USA,California,Shasta,2,9989617.597,40,4.00E-06,6,0.95,0.6475,1.292708365,0.525
USA,California,Solano,2,2196477.647,1231.404686,0.000560627,28,0.542469919,0.848491425,2.331092786,0.315087318
USA,California,Sonoma,2,4130044.183,22262.6358,0.005390411,49,0.605364078,0.833211405,2.099157009,0.260077021
USA,California,Stanislaus,2,3918783.528,3080.02343,0.000785964,30,0.449347231,0.902001186,2.588738739,0.163310446
USA,California,Sutter,2,1577121.454,54,3.42E-05,5,0.314814815,0.734567901,1.394647955,0.296296296
USA,California,Tehama,2,7633375.456,57.214058,7.50E-06,9,0.821476428,0.536429558,1.249688163,0.664172431
USA,California,Trinity,2,8297350.188,48,5.78E-06,10,0.604166667,0.827256944,1.971662934,0.291666667
USA,California,Tulare,2,12554637.81,3432.54527,0.000273409,30,0.24034643,0.912090382,2.733342905,0.168388165
USA,California,Tuolumne,2,5884193.869,12,2.04E-06,4,0.833333333,0.597222222,1.118743336,0.583333333
USA,California,Ventura,2,4808636.878,18,3.74E-06,4,0.888888889,0.296296296,0.633663257,0.833333333
USA,California,Yolo,2,2641953.143,4261.18744,0.001612893,28,0.662726069,0.773071983,2.132982595,0.443068986
USA,California,Yuba,2,1668314.73,36,2.16E-05,7,0.555555556,0.828703704,1.835002344,0.222222222
USA,California,Madera,2,5568686.804,14270.36851,0.002562609,45,0.355141495,0.895721988,2.596758083,0.215901923
